"CURIE","Name","p-value","q-value"
"go:0005509","calcium ion binding","9.59e-09","1.32e-04"
"go:0005515","protein binding","3.18e-07","2.19e-03"
"go:0030178","negative regulation of Wnt signaling pathway","4.87e-07","2.24e-03"
"go:0048856","anatomical structure development","1.84e-06","5.74e-03"
"go:0046872","metal ion binding","2.08e-06","5.74e-03"
"go:0043169","cation binding","3.78e-06","8.62e-03"
"go:0032502","developmental process","4.37e-06","8.62e-03"
"go:0030111","regulation of Wnt signaling pathway","6.22e-06","1.07e-02"
"go:0043167","ion binding","1.04e-05","1.60e-02"
"go:0090090","negative regulation of canonical Wnt signaling pathway","2.09e-05","2.59e-02"
"go:0036094","small molecule binding","2.13e-05","2.59e-02"
"go:1990907","beta-catenin-TCF complex","2.25e-05","2.59e-02"
"go:0009966","regulation of signal transduction","3.77e-05","4.01e-02"

