"CURIE","Name","p-value","q-value"
"reactome:R-HSA-4411364","Binding of TCF/LEF:CTNNB1 to target gene promoters","8.10e-06","9.12e-03"
"reactome:R-HSA-8951430","RUNX3 regulates WNT signaling","8.10e-06","9.12e-03"
"reactome:R-HSA-1483115","Hydrolysis of LPC","1.04e-05","9.12e-03"
"reactome:R-HSA-9762292","Regulation of CDH11 function","1.59e-05","1.04e-02"
"reactome:R-HSA-9796292","Formation of axial mesoderm","2.63e-05","1.38e-02"
"reactome:R-HSA-9754189","Germ layer formation at gastrulation","3.92e-05","1.72e-02"
"reactome:R-HSA-9733709","Cardiogenesis","1.01e-04","3.19e-02"
"reactome:R-HSA-9759475","Regulation of CDH11 Expression and Function","1.09e-04","3.19e-02"
"reactome:R-HSA-525793","Myogenesis","1.17e-04","3.19e-02"
"reactome:R-HSA-9764260","Regulation of Expression and Function of Type II Classical Cadherins","1.34e-04","3.19e-02"
"reactome:R-HSA-9759476","Regulation of Homotypic Cell-Cell Adhesion","1.34e-04","3.19e-02"
"reactome:R-HSA-4791275","Signaling by WNT in cancer","1.61e-04","3.52e-02"
"reactome:R-HSA-201681","TCF dependent signaling in response to WNT","1.82e-04","3.68e-02"
"reactome:R-HSA-8853884","Transcriptional Regulation by VENTX","2.12e-04","3.98e-02"
"reactome:R-HSA-3769402","Deactivation of the beta-catenin transactivating complex","2.46e-04","4.31e-02"

