,i10,i100,i1000,i1003,i1004,i1005,i1006,i1007,i1008,i101
A0A0D9SF12,0.030229765439797,0.100149778044574,0.430370915310509,0.186148681651868,-0.0618730217069176,-0.465947669645645,0.008759829544876,0.144433483165901,-0.277122165994666,0.0261775453310799
A0AUZ9,0.499129791665514,0.286906628031981,-0.177838964299949,0.0304492320479599,0.372219977462864,-0.0603794752979171,0.0849568362023208,0.241401173916308,-0.0083786909103828,0.78390150750263
A0AVF1,0.0623237156202971,-0.0503176852834331,-0.118266118932468,-0.0234153316390516,0.382110016970553,0.400989580347912,0.0461011848396477,0.0689353369319395,0.0826009233868645,-0.3895049184498
A0AVT1,0.681421033337246,0.580953958850432,0.0291038654695551,-0.978740032402187,-0.500851251892414,0.114462820097766,0.117882932012585,0.426262225617099,0.659785253091745,-0.018921389541805
A0FGR8,-0.254756786724,0.870421856395322,-0.344503013789591,-0.376016755093776,0.0545829534289806,-0.492967781560072,0.346521935307341,-0.198847314816026,-0.671187511421284,0.439166612816662
A0PJY2,0.0871973942133331,0.237066822466734,-0.25430661513703,0.211838131077141,0.106612638840362,0.164082436369351,-0.0832018983768958,0.498720966078628,0.553366726897596,0.40302128604995
A1A4S6,0.1534563447952,-0.118989884387021,0.0010417489403785,-0.0910993997217234,0.235600209115674,0.279667625592065,0.17690959538253,-0.0583490281178447,-0.0181509327595328,-0.255713386120267
A2A2Z9,0.187774657615834,0.402751181959969,-0.058091156080673,0.0817773257352876,0.712340710842502,-0.104817026999326,0.112258830687953,-0.160764361461238,-0.0468141968766916,0.119922259887879
A2A368,-0.342029002036758,-0.662227850506085,-0.888721199707416,0.3227505856189,1.12940864781812,0.696713007432695,0.724724046865872,0.289461747534887,-0.290074834407697,-0.316115989378174
A2RUS2,0.610476542707507,0.125294404213484,0.29773458772066,-0.227132560563712,0.322629773464635,-0.227455311225617,0.307308065599424,0.268274130860658,0.0527485104776854,0.112127351436136
A2VDF0,0.243814907219404,0.0160311192814581,0.195262612726426,-0.333425341934459,0.330626471622325,0.276706900471357,-0.279372354039197,-0.0922813063227981,-0.894149990502828,-1.3741983144407
A4D256,0.137058446747687,0.253554558315471,0.27351765309698,-0.32547318413246,-0.111097817095339,0.0737958872911697,-0.226677626127681,-0.218647425308234,-0.277250981910692,-0.0206901903519795
A4D263,-0.126859898686522,-0.0680158726765751,-0.0632032491848324,0.213101875324446,0.183790962964807,-0.051375096188452,0.277650198537081,0.444441702743491,0.222841479342681,-0.105342256670868
A4FU69,0.287086964939344,-0.959337580529673,-0.253819763403989,0.296910912455307,-0.0197222170524807,-0.161299298300736,0.451590582507703,0.801227805123117,0.818402667088471,-0.751061185140489
A5YKK6,0.0402439883716637,-0.0311689662880542,-0.273550932700036,0.0223202559415708,0.652920115974327,-0.254035432516273,-0.202098293812654,0.107899274599729,0.286128071756098,-0.387446712876082
A6H8Y1,0.317900151752462,0.227170960198738,-0.114387004545291,-0.274281676948947,-0.0217831789114682,-0.150494620381107,-0.089945387195027,-0.224894094851317,0.261139567817733,-0.139595977138044
A6NCS6,0.183182829276868,0.354636560808329,0.339556252253283,-0.748503086427587,-0.845162898392532,-0.102469448579428,-0.345007927303372,-0.160321857599554,-0.274212636443453,-0.264564744086005
A6NDG6,-0.319384990066281,-0.674635956206465,0.102228243809421,-0.565609641919777,0.705012230999893,0.299107424097524,0.266740870143853,-0.21237316373624,-0.109310228220421,-0.577454206739195
