"db","uniprot","gene"
"sp","P36578","RL4"
"sp","Q9ULW3","ABT1"
"sp","P08574","CY1"
"sp","Q9H3U1","UN45A"
"sp","Q9UNF1","MAGD2"
"sp","Q9NQP4","PFD4"
"sp","P40855","PEX19"
"sp","Q96P70","IPO9"
"sp","P18887","XRCC1"
"sp","P04899","GNAI2"
"sp","Q17RB8","LONF1"
"sp","P07954","FUMH"
"sp","Q9Y490","TLN1"
"sp","O94826","TOM70"
"sp","P52815","RM12"
"sp","Q96MW7","TIGD1"
"sp","Q9Y5V0","ZN706"
"sp","Q8N3Y3","LARG2"
"sp","P31948","STIP1"
"sp","Q5JRA6","TGO1"
"sp","P31350","RIR2"
"sp","Q12765","SCRN1"
"sp","Q9NVA2","SEP11"
"sp","P49591","SYSC"
"sp","P52788","SPSY"
"sp","Q5TIE3","VW5B1"
"sp","P08559","ODPA"
"sp","Q99733","NP1L4"
"sp","Q86XX4","FRAS1"
"sp","Q9NWH9","SLTM"
"sp","Q9UDW1","QCR9"
"sp","P19338","NUCL"
"sp","P49006","MRP"
"sp","Q7KZF4","SND1"
"sp","P19404","NDUV2"
"sp","O95336","6PGL"
"sp","Q9Y2S7","PDIP2"
"sp","P06753","TPM3"
"sp","Q14980","NUMA1"
"sp","Q92616","GCN1"
"sp","P55060","XPO2"
"CON__Q3SX28;sp","P09493","TPM1"
"sp","Q9UIW2","PLXA1"
"sp","P67809","YBOX1"
"sp","Q5JST6","EFHC2"
"sp","P12270","TPR"
"sp","Q6DHV5","C2D2B"
"sp","O15400","STX7"
"sp","O75569","PRKRA"
"sp","Q8N163","CCAR2"
"sp","O94776","MTA2"
"sp","P55884","EIF3B"
"sp","Q13330","MTA1"
"sp","P06454","PTMA"
"sp","P20962","PTMS"
"sp","P11586","C1TC"
"sp","P29966","MARCS"
"sp","Q1KMD3","HNRL2"
"sp","Q9Y613","FHOD1"
"sp","Q9UHB6","LIMA1"
"sp","Q12907","LMAN2"
"sp","O76041","NEBL"
