,UniProtID,Gene
0,P0DOY3,IGLC3
1,A0A0C4DH24,IGKV6-21
2,P04275,VWF
3,P01833,PIGR
4,P50336,PPOX
5,P02741,CRP
6,P60709,ACTB
7,Q06033-2,ITIH3
8,A0A087WWT3,ALB
9,P11226,MBL2
10,P06681,C2
11,A0A0C4DH25,IGKV3D-20
12,P28799,GRN
13,O95613-2,PCNT
14,Q6UXB8,PI16
15,A0A0C4DH29,IGHV1-3
16,Q8NF91-4,SYNE1
17,P01591,JCHAIN
18,P07359,GP1BA
19,Q6ZVX7,NCCRP1
20,P68032,ACTC1
21,A0A0G2JPA8,SERPINF2
22,P07360,C8G
23,P08637,FCGR3A
24,P0C0L4,C4A
25,A0A087WSY4,IGHV4-30-2
26,P18428,LBP
27,P33908,MAN1A1
28,Q9C075,KRT23
29,A0A0G2JPR0,C4A
30,P04746,AMY2A
31,Q6PGP7,TTC37
32,P06727,APOA4
33,P02747,C1QC
34,A0A1W2PQY8,ME2
35,P01597,IGKV1-39
36,A0A0B4J1V2,IGHV2-26
37,P02743,APCS
38,A0A087X0M8,CHL1
39,P11717,IGF2R
40,Q15582,TGFBI
41,P00450,CP
42,P04003,C4BPA
43,P01763,IGHV3-48
44,P13671,C6
45,Q9Y5Y7,LYVE1
46,Q6MZM0,HEPHL1
47,P07357,C8A
48,P02750,LRG1
49,P02753,RBP4
50,G5E9F8,PROS1
51,P05451,REG1A
52,P04196,HRG
53,A0M8Q6,IGLC7
54,P30043,BLVRB
55,P12259,F5
56,Q14624-2,ITIH4
57,P08571,CD14
58,P01814,IGHV2-70
59,A0A0B4J2B5,IGHV3OR16-9
60,A0A0G2JRQ6,
61,Q13103,SPP2
62,P68871,HBB
63,A0A0G2JH38,CFB
64,Q96IY4,CPB2
65,P02776,PF4
66,P01042-2,KNG1
67,G3V2W1,SERPINA10
68,P26927,MST1
69,Q9Y6R7,FCGBP
70,P05452,CLEC3B
71,P01703,IGLV1-40
72,Q9Y490,TLN1
73,P02788,LTF
74,P04070-2,PROC
75,P0C0L5,C4B
76,P22792,CPN2
77,P02775,PPBP
78,P02768-3,ALB
79,A0A075B6K2,IGLV3-12
80,Q04721,NOTCH2
81,B7ZKJ8,ITIH4
82,P14780,MMP9
83,P14151-2,SELL
84,B7WNR0,ALB
85,P08697,SERPINF2
86,O95757,HSPA4L
87,P04217,A1BG
88,A0A075B6I6,IGLV1-50
89,A0A087WW87,IGKV2-40
90,A0A075B6J9,IGLV2-18
91,P02746,C1QB
92,A0A0C4DH30,IGHV3-16
93,Q02985,CFHR3
94,P15144,ANPEP
95,A0A075B7B8,IGHV3OR16-12
96,P05019-2,IGF1
97,Q6UX71,PLXDC2
98,P08603,CFH
99,A0A075B7D0,IGHV1OR15-1
100,P01715,IGLV3-1
